name,address,img,website,phone_number,reviews_count,reviews_average,reviews_text,latitude,longitude,keyword
Zhu Cocktail Bar,"PRJ2+4G3, Sector 7-C, Sector 7, Chandigarh, 160019",,,,,4.2,"""Food 8/10 Service 6/10 (a bit slow) Ambience 7/10 Drinks 8/10"",""Amazing place with authentic Thai & Chinese food and awesome ambiance."",""The menu offers a wide variety of options and everything we tried was delicious""",30.7047931,76.2235136,
Ministry Of Bar Exchange - Lounge Bar in Chandigarh,"41, Madhya Marg, Sector 26, Chandigarh, 160022",,facebook.com,073470 47004,,4.2,"""Awsome place Awsome food Good service loved it 😘😘😘"",""Very very bad experience.Staff was not polite very rude behave by staff ."",""All drinks and cocktails are available.Very good music band selection.""",30.7047931,76.2235136,
The Back Room,"SCO 165-167, 34A, Chandigarh, 160022",,,080547 04365,,4.2,"""It was good place and food was also yummy.. it was quite good experience."",""Food quality and quantity was good but employees were not friendly."",""Good food ,good ambience ,amazing vibe and drinks..""",30.7047931,76.2235136,
"Ministry of Bar Exchange - Lounge Bar in Elante, Chandigarh","3rd Floor, Elante Mall, Industrial Area Phase I, Chandigarh, 160102",,facebook.com,,,4.4,"""Great place good atmosphere nice vibe good food good service thank you parveen"",""Amazing experience, Good customer handling, soft spoken staff."",""Enjoyed music, people gathering & food 👌""",30.7047931,76.2235136,
Cocktails and Dreams Speakeasy,"SCO -23, Sector 15 Part 2, Market, Gurugram, Haryana 122001",,cnd-speakeasy.com,0124 411 6070,,4.5,"""Loved the service - great staff and even better drinks and food."",""Got served under cooked meat & average potatoes which took 1 hour."",""Decor: The place has a warm cozy atmosphere, but everything emenates quality.""",28.4577485,76.467572,
